Year,Month,Value
1877,10,0.02
1877,11,0.46
1877,12,0.07
1878,1,0.18
1878,2,0.85
1878,3,0.96
1878,4,1.49
1878,5,1.48
1878,6,0.9
1878,7,0.46
1878,8,-0.63
1878,9,-1.97
1878,10,-1.68
1878,11,-0.51
1878,12,1.31
1879,1,0.2
1879,2,0.13
1879,3,0.23
1879,4,0.61
1879,5,-0.56
1879,6,-0.91
1879,7,-1.6
1879,8,-0.62
1879,9,-0.52
1879,10,-0.75
1879,11,-0.64
1879,12,-0.2
1880,1,0.44
1880,2,-0.45
1880,3,-1.51
1880,4,-2.42
1880,5,-2.97
1880,6,-3.15
1880,7,-2.27
1880,8,-1.79
1880,9,-1.77
1880,10,0.02
1880,11,-0.4
1880,12,-0.06
1881,1,-0.48
1881,2,-0.15
1881,3,-0.02
1881,4,0.17
1881,5,0.5
1881,6,0.24
1881,7,-1.3
1881,8,-2.31
1881,9,0.16
1881,10,0.34
1881,11,0.2
1881,12,-0.55
1882,1,-2.06
1882,2,-1.92
1882,3,-1.79
1882,4,-1.6
1882,5,-1.51
1882,6,-1.71
1882,7,-3.18
1882,8,-1.1
1882,9,-0.81
1882,10,-1.07
1882,11,-0.34
1882,12,0.66
1883,1,-0.97
1883,2,-1.32
1883,3,-1.4
1883,4,-0.32
1883,5,-0.67
1883,6,-1.25
1883,7,-2.82
1883,8,-2.36
1883,9,-1.75
1883,10,-1.47
1883,11,-1.07
1883,12,-1.67
1884,1,-1.77
1884,2,-1.95
1884,3,-1.42
1884,4,-0.53
1884,5,0.41
1884,6,0.84
1884,7,1.1
1884,8,1
1884,9,0.74
1884,10,1.08
1884,11,2.16
1884,12,2.35
1885,1,2.57
1885,2,1.02
1885,3,1.72
1885,4,1.47
1885,5,0.7
1885,6,-0.41
1885,7,-0.68
1885,8,-0.06
1885,9,-0.15
1885,10,-0.05
1885,11,-0.32
1885,12,-0.34
1886,1,-0.52
1886,2,0.62
1886,3,-0.48
1886,4,0.35
1886,5,-0.2
1886,6,-1.17
1886,7,-0.3
1886,8,-0.39
1886,9,-0.44
1886,10,-1.3
1886,11,-2.63
1886,12,-1.79
1887,1,-0.93
1887,2,-1.41
1887,3,-2.04
1887,4,-1.49
1887,5,-0.33
1887,6,0.69
1887,7,1.54
1887,8,-0.87
1887,9,-1.96
1887,10,-1.33
1887,11,-0.97
1887,12,-1.07
1888,1,-0.98
1888,2,-0.11
1888,3,0.1
1888,4,0.02
1888,5,1.48
1888,6,1.68
1888,7,1.78
1888,8,1.13
1888,9,1.04
1888,10,0.6
1888,11,0.76
1888,12,0.47
1889,1,0.44
1889,2,-0.01
1889,3,0.14
1889,4,0.88
1889,5,1.16
1889,6,1.12
1889,7,0.13
1889,8,-1.02
1889,9,-1.27
1889,10,-0.42
1889,11,1.34
1889,12,-0.16
1890,1,-0.66
1890,2,-1.09
1890,3,-1.49
1890,4,-1.1
1890,5,-1.34
1890,6,-3.41
1890,7,-1.4
1890,8,-0.99
1890,9,0.83
1890,10,-0.45
1890,11,-1.04
1890,12,-1.31
1891,1,-0.52
1891,2,-0.8
1891,3,-1.02
1891,4,-0.48
1891,5,0.87
1891,6,1.01
1891,7,1.13
1891,8,0.64
1891,9,0.3
1891,10,0.89
1891,11,0.03
1891,12,-0.18
1892,1,-1.15
1892,2,-1.42
1892,3,-0.96
1892,4,-1.32
1892,5,-2.76
1892,6,-1.94
1892,7,-1.65
1892,8,-2.85
1892,9,-2.46
1892,10,-2.82
1892,11,-2.36
1892,12,-1.13
1893,1,-0.51
1893,2,-0.67
1893,3,-0.93
1893,4,-1.6
1893,5,-2.45
1893,6,-2.13
1893,7,-2.14
1893,8,-0.41
1893,9,0.06
1893,10,-0.54
1893,11,-0.71
1893,12,-1.49
1894,1,-1.42
1894,2,-2.17
1894,3,-3.2
1894,4,-3.15
1894,5,-3.35
1894,6,-2.75
1894,7,-2.98
1894,8,-1.91
1894,9,-2.02
1894,10,-2.56
1894,11,-2.77
1894,12,-1.17
1895,1,-0.86
1895,2,-0.64
1895,3,-0.65
1895,4,-1.13
1895,5,-0.48
1895,6,-0.74
1895,7,0.43
1895,8,-0.16
1895,9,-1.34
1895,10,-0.84
1895,11,-1.23
1895,12,-0.27
1896,1,0.32
1896,2,0.2
1896,3,-0.17
1896,4,-0.91
1896,5,-1.32
1896,6,-0.68
1896,7,-0.32
1896,8,-0.18
1896,9,0.99
1896,10,0.26
1896,11,0.29
1896,12,0.21
1897,1,0.38
1897,2,-0.29
1897,3,-0.62
1897,4,-0.06
1897,5,0.67
1897,6,0.8
1897,7,0.57
1897,8,0
1897,9,-0.7
1897,10,0.31
1897,11,0.58
1897,12,0.05
1898,1,-0.08
1898,2,-0.27
1898,3,-0.42
1898,4,0.21
1898,5,-0.39
1898,6,0.29
1898,7,-0.36
1898,8,0.43
1898,9,0.29
1898,10,0.27
1898,11,0.55
1898,12,0.6
1899,1,0.08
1899,2,-1.27
1899,3,-0.75
1899,4,-0.51
1899,5,-1.07
1899,6,-1.48
1899,7,-0.14
1899,8,0.32
1899,9,0.35
1899,10,-0.37
1899,11,0.3
1899,12,0.32
1900,1,0.81
1900,2,0.2
1900,3,0.61
1900,4,1.85
1900,5,1.49
1900,6,1.23
1900,7,1.07
1900,8,1.15
1900,9,-0.4
1900,10,0.08
1900,11,0.57
1900,12,1.02
1901,1,1.13
1901,2,0.65
1901,3,-0.33
1901,4,-0.45
1901,5,-0.99
1901,6,-0.84
1901,7,-1.33
1901,8,-0.73
1901,9,-0.07
1901,10,0.25
1901,11,-0.08
1901,12,0.56
1902,1,1.37
1902,2,0.53
1902,3,0.4
1902,4,0.64
1902,5,1.36
1902,6,2.33
1902,7,3.04
1902,8,1.81
1902,9,0.89
1902,10,1.11
1902,11,0.74
1902,12,0.44
1903,1,-0.04
1903,2,0.1
1903,3,-0.19
1903,4,-1.08
1903,5,-0.37
1903,6,0.04
1903,7,1.49
1903,8,1.35
1903,9,0.54
1903,10,0.72
1903,11,0.22
1903,12,0.6
1904,1,1.41
1904,2,0.54
1904,3,0.72
1904,4,0.07
1904,5,0.47
1904,6,-0.07
1904,7,0.05
1904,8,1.64
1904,9,2.24
1904,10,1.8
1904,11,1.93
1904,12,3.12
1905,1,2.75
1905,2,1.71
1905,3,1.04
1905,4,2.05
1905,5,1.31
1905,6,1.56
1905,7,2.31
1905,8,2.41
1905,9,2.1
1905,10,-0.41
1905,11,0.74
1905,12,-0.98
1906,1,1.36
1906,2,1.26
1906,3,0.5
1906,4,0.43
1906,5,1.45
1906,6,0.93
1906,7,1.35
1906,8,0.94
1906,9,0.11
1906,10,0.94
1906,11,0.89
1906,12,-0.43
1907,1,-0.68
1907,2,-0.36
1907,3,-1.88
1907,4,-1.58
1907,5,0.23
1907,6,0.96
1907,7,0.59
1907,8,-0.31
1907,9,0.78
1907,10,1.84
1907,11,1.77
1907,12,1.94
1908,1,1.72
1908,2,1.67
1908,3,0.51
1908,4,-0.08
1908,5,0.16
1908,6,0.21
1908,7,0.42
1908,8,-0.72
1908,9,0.71
1908,10,0.94
1908,11,1.88
1908,12,1.34
1909,1,0.69
1909,2,0.86
1909,3,0.93
1909,4,0.28
1909,5,-0.17
1909,6,-0.65
1909,7,-1.39
1909,8,-2.3
1909,9,-1.97
1909,10,-1.25
1909,11,-1.36
1909,12,-2.21
1910,1,-1.71
1910,2,-1.23
1910,3,-0.9
1910,4,-1.97
1910,5,-2.33
1910,6,-0.35
1910,7,-0.08
1910,8,-0.73
1910,9,0.73
1910,10,-0.96
1910,11,-0.59
1910,12,0.39
1911,1,-0.3
1911,2,-1.21
1911,3,-1.26
1911,4,-0.56
1911,5,-0.71
1911,6,-1.51
1911,7,-0.38
1911,8,0.08
1911,9,-0.26
1911,10,-0.12
1911,11,-0.38
1911,12,-0.97
1912,1,-0.21
1912,2,-0.02
1912,3,-0.44
1912,4,-0.51
1912,5,-0.04
1912,6,0.45
1912,7,0.26
1912,8,0.34
1912,9,1.23
1912,10,0.82
1912,11,0.05
1912,12,0.06
1913,1,-0.25
1913,2,0.11
1913,3,-0.23
1913,4,-0.85
1913,5,0.1
1913,6,0.32
1913,7,0.9
1913,8,1.12
1913,9,0.76
1913,10,0.4
1913,11,0.44
1913,12,0.11
1914,1,-0.28
1914,2,-0.3
1914,3,0.04
1914,4,0.82
1914,5,0.47
1914,6,-0.83
1914,7,-1.01
1914,8,-0.97
1914,9,-1.17
1914,10,-0.74
1914,11,-0.35
1914,12,-0.07
1915,1,-0.42
1915,2,-0.53
1915,3,0.35
1915,4,1.26
1915,5,1.54
1915,6,1.53
1915,7,1.24
1915,8,0.5
1915,9,-0.08
1915,10,-1.51
1915,11,-1.45
1915,12,-0.82
1916,1,-1.56
1916,2,-1.55
1916,3,-1.3
1916,4,-0.59
1916,5,-0.49
1916,6,-1.69
1916,7,-1.68
1916,8,-2.24
1916,9,-2.05
1916,10,-1.82
1916,11,-2.48
1916,12,-2.44
1917,1,-1.71
1917,2,-1.73
1917,3,-1.94
1917,4,-1.78
1917,5,-1.19
1917,6,-1.06
1917,7,-0.9
1917,8,-0.75
1917,9,-1.15
1917,10,-1.42
1917,11,-0.74
1917,12,-0.52
1918,1,0.42
1918,2,-0.13
1918,3,-0.94
1918,4,-0.85
1918,5,-1.07
1918,6,-0.57
1918,7,0
1918,8,0.22
1918,9,0.41
1918,10,1.31
1918,11,1.33
1918,12,0.55
1919,1,0.47
1919,2,-0.05
1919,3,-0.64
1919,4,-0.63
1919,5,-1.05
1919,6,-1.53
1919,7,-1.87
1919,8,-0.92
1919,9,-0.31
1919,10,-0.6
1919,11,-0.77
1919,12,-0.39
1920,1,-1.08
1920,2,-0.77
1920,3,-0.9
1920,4,-1.33
1920,5,-1.24
1920,6,-1.28
1920,7,-1.59
1920,8,-2.26
1920,9,-2.19
1920,10,-1.79
1920,11,-0.8
1920,12,-0.69
1921,1,-1.09
1921,2,-1.55
1921,3,-0.85
1921,4,-1.63
1921,5,-1.5
